Description,SGD,RF,KNN,LinSVC,GenSVC
Balanced Target Variable | Scoring F1 | 8 RFE Features,0.76935725,0.783258595,0.780538117,0.769028401,0.632077728
Balanced Target Variable | Scoring F1 | 5 RFE Features,0.761733931,0.764215247,0.764544096,0.763736921,0.625171898
