Description,SGD,RF,KNN,LinSVC,GenSVC
Balanced Target Variable | Scoring F1 | 8 RFE Features,0.778310968,0.792168329,0.787580659,0.775524435,0.724632493
Balanced Target Variable | Scoring F1 | 5 RFE Features,0.77535374,0.775036367,0.768202955,0.768735551,0.720931268
